time, ticks/second, set point
right motor

88447864.00, 2498.75, 300.00
88455872.00, 2622.38, 300.00
88463872.00, 2373.81, 300.00
88471888.00, 2497.50, 300.00
88479888.00, 2497.50, 300.00
88487904.00, 2497.50, 300.00
88495912.00, 2621.07, 300.00
88503920.00, 2498.75, 300.00
88511920.00, 2497.50, 300.00
88519936.00, 2496.26, 300.00
88527944.00, 2622.38, 300.00
88535952.00, 2373.81, 300.00
88543952.00, 2497.50, 300.00
88551968.00, 2497.50, 300.00
88559968.00, 2372.63, 300.00
88567984.00, 2497.50, 300.00
88576016.00, 2490.04, 300.00
88584040.00, 2366.72, 300.00
88592048.00, 2622.38, 300.00
88600064.00, 2496.26, 300.00
88608064.00, 2497.50, 300.00
88616080.00, 2497.50, 300.00
88624080.00, 2497.50, 300.00
88632088.00, 2498.75, 300.00
88640112.00, 2617.15, 300.00
88648120.00, 2497.50, 300.00
88656128.00, 2623.69, 300.00
88664144.00, 2617.15, 300.00
88672160.00, 2497.50, 300.00
88680160.00, 2622.38, 300.00
88688168.00, 2623.69, 300.00
88696176.00, 2621.07, 300.00
88704192.00, 2622.38, 300.00
88712200.00, 2496.26, 300.00
88720208.00, 2622.38, 300.00
88728224.00, 2618.45, 300.00
88736232.00, 2498.75, 300.00
88744240.00, 2497.50, 300.00
88752248.00, 2622.38, 300.00
88760256.00, 2498.75, 300.00
88768256.00, 2623.69, 300.00
88776256.00, 2498.75, 300.00
88784272.00, 2372.63, 300.00
88792272.00, 2622.38, 300.00
88800280.00, 2498.75, 300.00
88808288.00, 2622.38, 300.00
88816296.00, 2497.50, 300.00
88824304.00, 2622.38, 300.00
88832336.00, 2615.84, 300.00
88840336.00, 2498.75, 300.00
88848336.00, 2498.75, 300.00
88856344.00, 2498.75, 300.00
88864352.00, 2497.50, 300.00
88872360.00, 2497.50, 300.00
88880368.00, 2497.50, 300.00
88888376.00, 2497.50, 300.00
88896384.00, 2498.75, 300.00
88904392.00, 2496.26, 300.00
88912400.00, 2497.50, 300.00
88920408.00, 2622.38, 300.00
88928416.00, 2497.50, 300.00
88936424.00, 2497.50, 300.00
88944432.00, 2622.38, 300.00
88952448.00, 2496.26, 300.00
88960456.00, 2621.07, 300.00
88968464.00, 2497.50, 300.00
88976472.00, 2622.38, 300.00
88984480.00, 2622.38, 300.00
88992488.00, 2622.38, 300.00
89000496.00, 2621.07, 300.00
89008512.00, 2621.07, 300.00
89016520.00, 2622.38, 300.00
89024528.00, 2622.38, 300.00
89032536.00, 2497.50, 300.00
89040544.00, 2623.69, 300.00
89048544.00, 2497.50, 300.00
89056552.00, 2498.75, 300.00
89064560.00, 2622.38, 300.00
89072568.00, 2497.50, 300.00
89080576.00, 2497.50, 300.00
89088584.00, 2622.38, 300.00
89096592.00, 2373.81, 300.00
89104592.00, 2497.50, 300.00
89112608.00, 2497.50, 300.00
89120616.00, 2621.07, 300.00
89128624.00, 2497.50, 300.00
89136656.00, 2491.28, 300.00
89144656.00, 2623.69, 300.00
89152664.00, 2497.50, 300.00
89160672.00, 2496.26, 300.00
89168680.00, 2498.75, 300.00
89176688.00, 2498.75, 300.00
89184696.00, 2496.26, 300.00
89192704.00, 2497.50, 300.00
90197144.00, 2551.67, 600.00
90205152.00, 2622.38, 600.00
90213168.00, 2621.07, 600.00
90221168.00, 2747.25, 600.00
90229176.00, 2873.56, 600.00
90237184.00, 3123.44, 600.00
90245208.00, 3238.66, 600.00
90253216.00, 3246.75, 600.00
90261232.00, 3491.27, 600.00
90269248.00, 3496.50, 600.00
90277248.00, 3496.50, 600.00
90285256.00, 3623.19, 600.00
90293280.00, 3612.36, 600.00
90301296.00, 3621.38, 600.00
90309304.00, 3744.38, 600.00
90317312.00, 3871.13, 600.00
90325312.00, 3623.19, 600.00
90333328.00, 3869.20, 600.00
90341336.00, 3996.00, 600.00
90349344.00, 3998.00, 600.00
90357344.00, 3996.00, 600.00
90365360.00, 3996.00, 600.00
90373376.00, 3988.04, 600.00
90381408.00, 3986.05, 600.00
90389416.00, 3996.00, 600.00
90397424.00, 3994.01, 600.00
90405432.00, 4122.94, 600.00
90413440.00, 4247.88, 600.00
90421440.00, 4120.88, 600.00
90429472.00, 4361.91, 600.00
90437480.00, 4243.63, 600.00
90445504.00, 4486.54, 600.00
90453512.00, 4370.63, 600.00
90461520.00, 4493.26, 600.00
90469536.00, 4493.26, 600.00
90477544.00, 4370.63, 600.00
90485552.00, 4497.75, 600.00
90493552.00, 4370.63, 600.00
90501568.00, 4495.50, 600.00
90509568.00, 4495.50, 600.00
90517584.00, 4245.75, 600.00
90525584.00, 4495.50, 600.00
90533592.00, 4497.75, 600.00
90541600.00, 4495.50, 600.00
90549608.00, 4495.50, 600.00
90557616.00, 4370.63, 600.00
90565616.00, 4497.75, 600.00
90573632.00, 4370.63, 600.00
90581632.00, 4372.81, 600.00
90589640.00, 4495.50, 600.00
90597648.00, 4620.38, 600.00
90605656.00, 4495.50, 600.00
90613664.00, 4618.07, 600.00
90621680.00, 4745.25, 600.00
90629696.00, 4735.79, 600.00
90637720.00, 4738.15, 600.00
90645728.00, 4745.25, 600.00
90653736.00, 4620.38, 600.00
90661744.00, 4742.89, 600.00
90669760.00, 4620.38, 600.00
90677776.00, 4735.79, 600.00
90685792.00, 4618.07, 600.00
90693792.00, 4497.75, 600.00
90701800.00, 4622.69, 600.00
90709808.00, 4745.25, 600.00
90717816.00, 4620.38, 600.00
90725824.00, 4622.69, 600.00
90733824.00, 4495.50, 600.00
90741840.00, 4618.07, 600.00
90749848.00, 4495.50, 600.00
90757856.00, 4497.75, 600.00
90765872.00, 4740.52, 600.00
90773872.00, 4622.69, 600.00
90781904.00, 4733.43, 600.00
90789912.00, 4742.89, 600.00
90797920.00, 4742.89, 600.00
90805936.00, 4867.70, 600.00
90813944.00, 4870.13, 600.00
90821968.00, 4858.00, 600.00
90829984.00, 4745.25, 600.00
90837984.00, 4747.63, 600.00
90845984.00, 4747.63, 600.00
90854000.00, 4745.25, 600.00
90862000.00, 4620.38, 600.00
90870016.00, 4742.89, 600.00
90878024.00, 4745.25, 600.00
90886032.00, 4745.25, 600.00
90894040.00, 4620.38, 600.00
90902048.00, 4618.07, 600.00
90910056.00, 4622.69, 600.00
90918064.00, 4618.07, 600.00
90926080.00, 4620.38, 600.00
90934080.00, 4622.69, 600.00
90942088.00, 4745.25, 600.00
90950096.00, 4745.25, 600.00
90958104.00, 4745.25, 600.00
90966112.00, 4870.13, 600.00
90974128.00, 4867.70, 600.00
90982136.00, 4867.70, 600.00
90990144.00, 4870.13, 600.00
90998160.00, 4867.70, 600.00
91006160.00, 4747.63, 600.00
91014176.00, 4742.89, 600.00
91022176.00, 4870.13, 600.00
91030192.00, 4620.38, 600.00
91038192.00, 4745.25, 600.00
91046208.00, 4745.25, 600.00
91054216.00, 4742.89, 600.00
91062224.00, 4745.25, 600.00
91070232.00, 4620.38, 600.00
91078256.00, 4733.43, 600.00
91086272.00, 4618.07, 600.00
91094280.00, 4620.38, 600.00
91102288.00, 4620.38, 600.00
91110296.00, 4745.25, 600.00
91118304.00, 4742.89, 600.00
91126320.00, 4870.13, 600.00
91134320.00, 4870.13, 600.00
91142328.00, 4872.56, 600.00
91150344.00, 4865.27, 600.00
