// This data is used to show the mapping from input to output when under no load.
// There is a dead zone region, and the mapping may not be linear.
// Ticks / second; Input (PWM units -1024 -> 1024)
-1920.39, -230.00
-1920.39, -230.00
-1815.35, -220.00
-1831.18, -220.00
-1663.17, -220.00
-1745.20, -220.00
-1834.38, -220.00
-1922.40, -220.00
-1922.40, -220.00
-1927.80, -220.00
-1922.40, -220.00
-1833.74, -220.00
-1921.06, -220.00
-1750.70, -220.00
-1747.64, -220.00
-1919.72, -220.00
-1836.31, -220.00
-1833.10, -220.00
-1835.02, -220.00
-1922.40, -220.00
-1923.75, -220.00
-1836.95, -220.00
-1891.98, -210.00
-1838.24, -210.00
-1921.06, -210.00
-1838.88, -210.00
-1834.38, -210.00
-1748.86, -210.00
-1748.86, -210.00
-1754.39, -210.00
-1833.74, -210.00
-1834.38, -210.00
-1749.48, -210.00
-1661.42, -210.00
-1659.10, -210.00
-1662.58, -210.00
-1747.03, -210.00
-1750.70, -210.00
-1663.17, -210.00
-1745.81, -210.00
-1661.42, -210.00
-1662.58, -210.00
-1555.48, -200.00
-1487.57, -200.00
-1574.53, -200.00
-1662.00, -200.00
-1751.93, -200.00
-1750.70, -200.00
-1662.58, -200.00
-1747.64, -200.00
-1662.00, -200.00
-1747.64, -200.00
-1575.63, -200.00
-1572.33, -200.00
-1574.53, -200.00
-1662.58, -200.00
-1746.42, -200.00
-1573.98, -200.00
-1659.68, -200.00
-1662.58, -200.00
-1662.58, -200.00
-1667.84, -200.00
-1637.37, -190.00
-1661.42, -190.00
-1662.58, -190.00
-1575.08, -190.00
-1660.84, -190.00
-1574.53, -190.00
-1570.68, -190.00
-1487.05, -190.00
-1573.43, -190.00
-1573.43, -190.00
-1578.95, -190.00
-1570.68, -190.00
-1487.57, -190.00
-1487.05, -190.00
-1400.07, -190.00
-1400.56, -190.00
-1487.05, -190.00
-1400.07, -190.00
-1487.57, -190.00
-1486.53, -190.00
-1468.05, -180.00
-1401.05, -180.00
-1486.01, -180.00
-1399.58, -180.00
-1312.11, -180.00
-1227.21, -180.00
-1311.65, -180.00
-1226.78, -180.00
-1399.58, -180.00
-1399.58, -180.00
-1317.64, -180.00
-1399.09, -180.00
-1313.49, -180.00
-1399.58, -180.00
-1312.57, -180.00
-1311.65, -180.00
-1311.65, -180.00
-1314.41, -180.00
-1224.63, -180.00
-1139.15, -180.00
-1380.26, -170.00
-1312.11, -170.00
-1223.78, -170.00
-1224.63, -170.00
-1226.78, -170.00
-1226.35, -170.00
-1224.20, -170.00
-1226.78, -170.00
-1137.96, -170.00
-1225.06, -170.00
-1225.06, -170.00
-1142.35, -170.00
-1224.63, -170.00
-1139.15, -170.00
-1136.76, -170.00
-1223.78, -170.00
-1139.15, -170.00
-1137.56, -170.00
-1136.76, -170.00
-1051.16, -170.00
-1035.55, -160.00
-1137.56, -160.00
-1139.55, -160.00
-1138.75, -160.00
-1051.89, -160.00
-1049.69, -160.00
-1049.32, -160.00
-1048.95, -160.00
-1049.69, -160.00
-1048.95, -160.00
-963.56, -160.00
-967.63, -160.00
-1053.74, -160.00
-963.22, -160.00
-967.63, -160.00
-1055.97, -160.00
-964.24, -160.00
-1053.74, -160.00
-964.24, -160.00
-965.59, -160.00
-1039.86, -150.00
-963.56, -150.00
-965.93, -150.00
-964.57, -150.00
-791.70, -150.00
-878.73, -150.00
-879.97, -150.00
-791.42, -150.00
-878.12, -150.00
-791.42, -150.00
-880.28, -150.00
-791.97, -150.00
-878.43, -150.00
-791.97, -150.00
-792.25, -150.00
-877.81, -150.00
-791.97, -150.00
-879.66, -150.00
-791.14, -150.00
-791.42, -150.00
-868.66, -140.00
-791.97, -140.00
-791.97, -140.00
-794.21, -140.00
-703.98, -140.00
-791.97, -140.00
-703.73, -140.00
-616.41, -140.00
-703.23, -140.00
-705.22, -140.00
-703.48, -140.00
-615.76, -140.00
-615.76, -140.00
-705.72, -140.00
-615.98, -140.00
-615.76, -140.00
-615.33, -140.00
-615.11, -140.00
-614.90, -140.00
-528.73, -140.00
-607.85, -130.00
-527.80, -130.00
-615.98, -130.00
-615.76, -130.00
-528.54, -130.00
-615.55, -130.00
-527.61, -130.00
-615.33, -130.00
-527.80, -130.00
-616.20, -130.00
-527.98, -130.00
-615.98, -130.00
-527.98, -130.00
-615.98, -130.00
-528.91, -130.00
-527.61, -130.00
-615.33, -130.00
-527.61, -130.00
-615.76, -130.00
-528.73, -130.00
-607.85, -120.00
-528.73, -120.00
-615.76, -120.00
-529.10, -120.00
-527.61, -120.00
-527.43, -120.00
-527.43, -120.00
-529.10, -120.00
-529.10, -120.00
-441.85, -120.00
-528.17, -120.00
-440.61, -120.00
-439.83, -120.00
-439.99, -120.00
-527.61, -120.00
-527.61, -120.00
-441.54, -120.00
-440.45, -120.00
-439.99, -120.00
-439.83, -120.00
-521.01, -110.00
-440.92, -110.00
-440.76, -110.00
-352.49, -110.00
-439.52, -110.00
-351.86, -110.00
-351.74, -110.00
-439.68, -110.00
-352.61, -110.00
-352.49, -110.00
-351.74, -110.00
-351.86, -110.00
-439.83, -110.00
-352.61, -110.00
-352.36, -110.00
-352.24, -110.00
-352.36, -110.00
-352.24, -110.00
-264.27, -110.00
-351.99, -110.00
-347.46, -100.00
-351.99, -100.00
-351.86, -100.00
-351.86, -100.00
-353.23, -100.00
-264.18, -100.00
-351.74, -100.00
-352.49, -100.00
-264.36, -100.00
-351.86, -100.00
-264.46, -100.00
-351.86, -100.00
-264.46, -100.00
-264.36, -100.00
-351.86, -100.00
-264.27, -100.00
-264.27, -100.00
-265.02, -100.00
-264.27, -100.00
-351.49, -100.00
-261.05, -90.00
-265.67, -90.00
-265.67, -90.00
-265.77, -90.00
-265.02, -90.00
-265.21, -90.00
-265.39, -90.00
-176.99, -90.00
-265.77, -90.00
-177.05, -90.00
-265.39, -90.00
-265.67, -90.00
-176.99, -90.00
-265.58, -90.00
-176.99, -90.00
-265.67, -90.00
-176.99, -90.00
-177.05, -90.00
-265.11, -90.00
-176.87, -90.00
-174.89, -80.00
-177.12, -80.00
-177.05, -80.00
-177.12, -80.00
-177.05, -80.00
-177.12, -80.00
-177.05, -80.00
-88.56, -80.00
-177.81, -80.00
-177.18, -80.00
-88.53, -80.00
-88.87, -80.00
-88.87, -80.00
-178.00, -80.00
-88.62, -80.00
-88.90, -80.00
-88.94, -80.00
-177.43, -80.00
-88.56, -80.00
-88.90, -80.00
0.00, -70.00
-90.16, -70.00
0.00, -70.00
0.00, -70.00
-90.35, -70.00
-88.87, -70.00
-88.84, -70.00
0.00, -70.00
0.00, -70.00
0.00, -70.00
0.00, -70.00
0.00, -70.00
0.00, -70.00
0.00, -70.00
0.00, -70.00
0.00, -70.00
0.00, -70.00
0.00, -70.00
0.00, -70.00
0.00, -70.00
0.00, -60.00
0.00, -60.00
0.00, -60.00
0.00, -60.00
0.00, -60.00
0.00, -60.00
0.00, -60.00
0.00, -60.00
0.00, -60.00
0.00, -60.00
0.00, -60.00
0.00, -60.00
0.00, -60.00
0.00, -60.00
0.00, -60.00
0.00, -60.00
0.00, -60.00
0.00, -60.00
0.00, -60.00
0.00, -60.00
0.00, -50.00
0.00, -50.00
0.00, -50.00
0.00, -50.00
0.00, -50.00
0.00, -50.00
0.00, -50.00
0.00, -50.00
0.00, -50.00
0.00, -50.00
0.00, -50.00
0.00, -50.00
0.00, -50.00
0.00, -50.00
0.00, -50.00
0.00, -50.00
0.00, -50.00
0.00, -50.00
0.00, -50.00
0.00, -50.00
0.00, -40.00
0.00, -40.00
0.00, -40.00
0.00, -40.00
0.00, -40.00
0.00, -40.00
0.00, -40.00
0.00, -40.00
0.00, -40.00
0.00, -40.00
0.00, -40.00
0.00, -40.00
0.00, -40.00
0.00, -40.00
0.00, -40.00
0.00, -40.00
0.00, -40.00
0.00, -40.00
0.00, -40.00
0.00, -40.00
0.00, -30.00
0.00, -30.00
0.00, -30.00
0.00, -30.00
0.00, -30.00
0.00, -30.00
0.00, -30.00
0.00, -30.00
0.00, -30.00
0.00, -30.00
0.00, -30.00
0.00, -30.00
0.00, -30.00
0.00, -30.00
0.00, -30.00
0.00, -30.00
0.00, -30.00
0.00, -30.00
0.00, -30.00
0.00, -30.00
0.00, -20.00
0.00, -20.00
0.00, -20.00
0.00, -20.00
0.00, -20.00
0.00, -20.00
0.00, -20.00
0.00, -20.00
0.00, -20.00
0.00, -20.00
0.00, -20.00
0.00, -20.00
0.00, -20.00
0.00, -20.00
0.00, -20.00
0.00, -20.00
0.00, -20.00
0.00, -20.00
0.00, -20.00
0.00, -20.00
0.00, -10.00
0.00, -10.00
0.00, -10.00
0.00, -10.00
0.00, -10.00
