// This data is used to show the mapping from input to output when under no load.
// There is a dead zone region, and the mapping may not be linear.
// Ticks / second; Input (PWM units -1024 -> 1024)
-2694.71, -310.00
-2701.29, -310.00
-2692.84, -310.00
-2695.65, -310.00
-2657.75, -300.00
-2606.88, -300.00
-2608.70, -300.00
-2609.60, -300.00
-2610.51, -300.00
-2605.98, -300.00
-2605.98, -300.00
-2614.15, -300.00
-2610.51, -300.00
-2605.98, -300.00
-2692.84, -300.00
-2615.06, -300.00
-2611.42, -300.00
-2609.60, -300.00
-2609.60, -300.00
-2617.80, -300.00
-2612.33, -300.00
-2607.79, -300.00
-2606.88, -300.00
-2525.25, -300.00
-2654.11, -290.00
-2527.01, -290.00
-2606.88, -290.00
-2607.79, -290.00
-2607.79, -290.00
-2611.42, -290.00
-2524.37, -290.00
-2519.99, -290.00
-2527.89, -290.00
-2439.87, -290.00
-2523.49, -290.00
-2439.02, -290.00
-2433.94, -290.00
-2521.74, -290.00
-2522.62, -290.00
-2519.11, -290.00
-2519.11, -290.00
-2444.99, -290.00
-2602.36, -290.00
-2525.25, -290.00
-2486.28, -280.00
-2521.74, -280.00
-2520.86, -280.00
-2438.17, -280.00
-2519.11, -280.00
-2433.94, -280.00
-2521.74, -280.00
-2441.58, -280.00
-2433.09, -280.00
-2523.49, -280.00
-2439.87, -280.00
-2436.48, -280.00
-2432.24, -280.00
-2433.09, -280.00
-2436.48, -280.00
-2351.92, -280.00
-2349.46, -280.00
-2344.56, -280.00
-2347.01, -280.00
-2347.83, -280.00
-2317.99, -270.00
-2345.38, -270.00
-2433.94, -270.00
-2352.74, -270.00
-2353.56, -270.00
-2351.92, -270.00
-2351.92, -270.00
-2358.49, -270.00
-2354.38, -270.00
-2354.38, -270.00
-2269.55, -270.00
-2346.19, -270.00
-2267.18, -270.00
-2344.56, -270.00
-2264.81, -270.00
-2260.08, -270.00
-2181.50, -270.00
-2263.23, -270.00
-2262.44, -270.00
-2264.81, -270.00
-2234.44, -260.00
-2177.70, -260.00
-2262.44, -260.00
-2179.22, -260.00
-2172.40, -260.00
-2180.74, -260.00
-2092.05, -260.00
-2089.14, -260.00
-2176.18, -260.00
-2089.86, -260.00
-2004.18, -260.00
-2092.78, -260.00
-2090.59, -260.00
-2089.14, -260.00
-2090.59, -260.00
-2092.05, -260.00
-2093.51, -260.00
-2089.86, -260.00
-2089.86, -260.00
-2096.44, -260.00
-2063.98, -250.00
-2092.05, -250.00
-2092.78, -250.00
-2003.48, -250.00
-2093.51, -250.00
-2093.51, -250.00
-2015.42, -250.00
-2004.18, -250.00
-2091.32, -250.00
-2004.18, -250.00
-2006.28, -250.00
-2093.51, -250.00
-2002.79, -250.00
-2003.48, -250.00
-2092.78, -250.00
-2006.28, -250.00
-2006.28, -250.00
-2010.49, -250.00
-2004.88, -250.00
-2006.28, -250.00
-1975.95, -240.00
-1915.71, -240.00
-2004.88, -240.00
-1917.71, -240.00
-1917.71, -240.00
-1923.75, -240.00
-1834.38, -240.00
-1918.38, -240.00
-1919.05, -240.00
-1919.72, -240.00
-1919.05, -240.00
-1918.38, -240.00
-1833.74, -240.00
-1917.71, -240.00
-1918.38, -240.00
-1835.66, -240.00
-1829.91, -240.00
-1914.38, -240.00
-1835.02, -240.00
-1836.95, -240.00
-1812.22, -230.00
-1829.27, -230.00
-1829.91, -230.00
-1747.64, -230.00
-1831.82, -230.00
-1831.82, -230.00
-1751.93, -230.00
-1746.42, -230.00
-1743.38, -230.00
-1828.63, -230.00
-1661.42, -230.00
-1740.34, -230.00
-1747.03, -230.00
-1745.20, -230.00
-1744.59, -230.00
-1660.84, -230.00
-1660.84, -230.00
-1748.25, -230.00
-1659.68, -230.00
-1661.42, -230.00
-1635.67, -220.00
-1657.94, -220.00
-1572.33, -220.00
